label,Genefamily,Value
Alligator mississippiensis,OG0000122,none
68,OG0000122,decreased
Gopherus evgoodei,OG0000122,increased
Varanus komodoensis,OG0000122,decreased
43,OG0000122,none
73,OG0000122,none
Pogona vitticeps,OG0000122,increased
51,OG0000122,none
Pseudonaja textilis,OG0000122,decreased
61,OG0000122,none
Eublepharis macularius,OG0000122,decreased
69,OG0000122,decreased
Sphenodon punctatus,OG0000122,none
75,OG0000122,decreased
Sus scrofa,OG0000122,none
17,OG0000122,none
Balaenoptera musculus,OG0000122,none
26,OG0000122,none
Ceratotherium simum,OG0000122,none
37,OG0000122,none
Desmodus rotundus,OG0000122,none
46,OG0000122,none
Gorilla gorilla,OG0000122,none
24,OG0000122,none
Tupaia chinensis,OG0000122,none
36,OG0000122,none
64,OG0000122,decreased
Nannosplalax galili,OG0000122,none
Elephas maximus,OG0000122,none
71,OG0000122,decreased
47,OG0000122,none
Choloepus didactylus,OG0000122,none
72,OG0000122,decreased
Sarcophilus harrisi,OG0000122,none
Ornithorhynchus anatinus,OG0000122,none
MRCA,OG0000122,none
Rana temporaria,OG0000122,increased
20,OG0000122,none
Nanorana parkeri,OG0000122,decreased
32,OG0000122,none
Bufo bufo,OG0000122,decreased
44,OG0000122,none
Leptobrachium leishanense,OG0000122,decreased
33,OG0000122,none
Spea bombifrons,OG0000122,increased
52,OG0000122,none
Xenopus Tropicalis,OG0000122,increased
45,OG0000122,increased
62,OG0000122,increased
Xenopus Laevis,OG0000122,decreased
70,OG0000122,increased
Bombina bombina,OG0000122,increased
Pleurodeles waltl,OG0000122,increased
74,OG0000122,increased
Microcaecilia unicolor,OG0000122,decreased
56,OG0000122,none
Geotrypetes seraphini,OG0000122,none
66,OG0000122,none
Rhinatrema bivittatum,OG0000122,increased
Aquila chrysaetos,OG0000183,none
3,OG0000183,none
Taeniopygia guttata,OG0000183,none
7,OG0000183,none
Nipponia nippon,OG0000183,none
11,OG0000183,none
Rissa tridactyla,OG0000183,none
19,OG0000183,none
Cuculus canorus,OG0000183,none
10,OG0000183,none
29,OG0000183,none
Apus apus,OG0000183,none
41,OG0000183,none
Columbalivia,OG0000183,none
Numida meleagris,OG0000183,none
48,OG0000183,decreased
Dromaius novaehollandiae,OG0000183,none
58,OG0000183,none
Alligator mississippiensis,OG0000183,none
68,OG0000183,none
Gopherus evgoodei,OG0000183,decreased
Varanus komodoensis,OG0000183,decreased
43,OG0000183,none
73,OG0000183,none
Pogona vitticeps,OG0000183,increased
51,OG0000183,none
Pseudonaja textilis,OG0000183,increased
61,OG0000183,increased
Eublepharis macularius,OG0000183,none
69,OG0000183,none
Sphenodon punctatus,OG0000183,decreased
75,OG0000183,decreased
Sus scrofa,OG0000183,none
17,OG0000183,none
Balaenoptera musculus,OG0000183,increased
26,OG0000183,increased
Ceratotherium simum,OG0000183,increased
37,OG0000183,none
Desmodus rotundus,OG0000183,decreased
46,OG0000183,none
Gorilla gorilla,OG0000183,increased
24,OG0000183,increased
Tupaia chinensis,OG0000183,none
36,OG0000183,none
64,OG0000183,none
Nannosplalax galili,OG0000183,decreased
Elephas maximus,OG0000183,none
71,OG0000183,decreased
47,OG0000183,none
Choloepus didactylus,OG0000183,none
72,OG0000183,none
Sarcophilus harrisi,OG0000183,decreased
Ornithorhynchus anatinus,OG0000183,decreased
MRCA,OG0000183,none
Rana temporaria,OG0000183,none
20,OG0000183,decreased
Nanorana parkeri,OG0000183,decreased
32,OG0000183,none
Bufo bufo,OG0000183,increased
44,OG0000183,none
Leptobrachium leishanense,OG0000183,increased
33,OG0000183,none
Spea bombifrons,OG0000183,decreased
52,OG0000183,none
Xenopus Tropicalis,OG0000183,none
45,OG0000183,decreased
62,OG0000183,none
Xenopus Laevis,OG0000183,none
70,OG0000183,increased
Bombina bombina,OG0000183,increased
Pleurodeles waltl,OG0000183,increased
74,OG0000183,increased
Microcaecilia unicolor,OG0000183,decreased
56,OG0000183,increased
Geotrypetes seraphini,OG0000183,increased
66,OG0000183,none
Rhinatrema bivittatum,OG0000183,decreased
Aquila chrysaetos,OG0000209,none
3,OG0000209,none
Taeniopygia guttata,OG0000209,none
7,OG0000209,decreased
Nipponia nippon,OG0000209,none
11,OG0000209,none
Rissa tridactyla,OG0000209,none
19,OG0000209,none
Cuculus canorus,OG0000209,none
